mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__ccp_alpha,param_model__criterion,param_model__max_depth,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_train_balanced_accuracy,split1_train_balanced_accuracy,split2_train_balanced_accuracy,split3_train_balanced_accuracy,split4_train_balanced_accuracy,mean_train_balanced_accuracy,std_train_balanced_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro
8.728907489776612,0.13453123072716966,0.45054335594177247,0.014754132999368745,0.001,entropy,32,"{'model__ccp_alpha': 0.001, 'model__criterion': 'entropy', 'model__max_depth': 32}",0.6903682763332188,0.6899765380386579,0.7042388514704705,0.6959552706843822,0.7111210662409102,0.6983320005535278,0.008213824822536566,6,0.7031100439222958,0.7075865723188605,0.7100586115754554,0.7133472068943221,0.7201507501299149,0.7108506369681697,0.0057257867437906,0.69092767076769,0.6925020522412763,0.6877411601463396,0.6900897864363404,0.7011336915408353,0.6924788722264963,0.004592740082128106,6,0.7029865525068119,0.7081484611435888,0.6942228767857186,0.7021056361116129,0.7107797742358983,0.703648660156726,0.005705535887759758
8.790234756469726,0.10599169518309212,0.4879171848297119,0.028395261862327777,0.001,entropy,64,"{'model__ccp_alpha': 0.001, 'model__criterion': 'entropy', 'model__max_depth': 64}",0.6904144188212218,0.6899765380386579,0.7029161001477191,0.6959351272632236,0.7111210662409102,0.6980726501023465,0.008030998852669861,7,0.7031100439222958,0.7075865723188605,0.7100586115754554,0.7133472068943221,0.7201507501299149,0.7108506369681697,0.0057257867437906,0.6913753185634107,0.6924215328579231,0.6863971882141324,0.6900584152972431,0.7011336915408353,0.692277229294709,0.004873791310002224,7,0.7029865525068119,0.7081484611435888,0.6942228767857186,0.7021056361116129,0.7107797742358983,0.703648660156726,0.005705535887759758
7.988281154632569,0.2569653802056319,0.4794442176818848,0.040294402691258446,0.01,gini,16,"{'model__ccp_alpha': 0.01, 'model__criterion': 'gini', 'model__max_depth': 16}",0.19808979689956815,0.19848586220465939,0.17941820067520162,0.17996978030130503,0.1974276878494996,0.19067826558604678,0.008976689603084741,16,0.19857652588765845,0.19833611984462374,0.17995859290292412,0.17978132461034846,0.1985586887968942,0.1910422504084898,0.009122703523911951,0.17384135651500823,0.17389898876797055,0.1512155469306177,0.152347834669854,0.16329657395436895,0.16292006016756388,0.009886565954278146,16,0.17426134989002953,0.17426886037632747,0.15213297911720422,0.15180971651103378,0.16386261355629136,0.1632671038901773,0.009975040678254292
9.430406188964843,0.2844917183548857,0.5041215419769287,0.0374030989402406,0.01,gini,32,"{'model__ccp_alpha': 0.01, 'model__criterion': 'gini', 'model__max_depth': 32}",0.19808979689956815,0.19848586220465939,0.17941820067520162,0.17996978030130503,0.1974276878494996,0.19067826558604678,0.008976689603084741,16,0.19857652588765845,0.19833611984462374,0.17995859290292412,0.17978132461034846,0.1985586887968942,0.1910422504084898,0.009122703523911951,0.17384135651500823,0.17389898876797055,0.1512155469306177,0.152347834669854,0.16329657395436895,0.16292006016756388,0.009886565954278146,16,0.17426134989002953,0.17426886037632747,0.15213297911720422,0.15180971651103378,0.16386261355629136,0.1632671038901773,0.009975040678254292
9.48826332092285,0.38529674031417993,0.4862504005432129,0.06301349883174608,0.01,gini,64,"{'model__ccp_alpha': 0.01, 'model__criterion': 'gini', 'model__max_depth': 64}",0.19808979689956815,0.19848586220465939,0.17941820067520162,0.17996978030130503,0.1974276878494996,0.19067826558604678,0.008976689603084741,16,0.19857652588765845,0.19833611984462374,0.17995859290292412,0.17978132461034846,0.1985586887968942,0.1910422504084898,0.009122703523911951,0.17384135651500823,0.17389898876797055,0.1512155469306177,0.152347834669854,0.16329657395436895,0.16292006016756388,0.009886565954278146,16,0.17426134989002953,0.17426886037632747,0.15213297911720422,0.15180971651103378,0.16386261355629136,0.1632671038901773,0.009975040678254292
8.481534194946288,0.130400494420928,0.44966754913330076,0.05108433830436139,0.01,entropy,16,"{'model__ccp_alpha': 0.01, 'model__criterion': 'entropy', 'model__max_depth': 16}",0.4177547669756289,0.43012054512010967,0.42115832554546984,0.42185286574639375,0.4275516973370534,0.4236876401449311,0.004500578138045622,13,0.42111962200368636,0.4285040400203843,0.41974020138127194,0.42382035245915667,0.42899077570159894,0.42443499831321957,0.003760926371495999,0.41449473324325625,0.422933257741615,0.4111811658971784,0.4106343767234278,0.42053800247763773,0.4159563072166231,0.004958445066100504,14,0.4167477201649093,0.4221546585235994,0.41107693948693075,0.4119784384034852,0.42235626762216766,0.4168628048402184,0.004806836102887763
8.839795398712159,0.1381481121571855,0.43391804695129393,0.0177341754813348,0.01,entropy,32,"{'model__ccp_alpha': 0.01, 'model__criterion': 'entropy', 'model__max_depth': 32}",0.4177547669756289,0.43012054512010967,0.42115832554546984,0.42185286574639375,0.4275516973370534,0.4236876401449311,0.004500578138045622,13,0.42111962200368636,0.4285040400203843,0.41974020138127194,0.42382035245915667,0.42899077570159894,0.42443499831321957,0.003760926371495999,0.41449473324325625,0.422933257741615,0.4111811658971784,0.4106343767234278,0.42053800247763773,0.4159563072166231,0.004958445066100504,14,0.4167477201649093,0.4221546585235994,0.41107693948693075,0.4119784384034852,0.42235626762216766,0.4168628048402184,0.004806836102887763
9.09868278503418,0.4167226463871388,0.4966829776763916,0.05488167001071883,0.01,entropy,64,"{'model__ccp_alpha': 0.01, 'model__criterion': 'entropy', 'model__max_depth': 64}",0.4177547669756289,0.43012054512010967,0.42115832554546984,0.42185286574639375,0.4275516973370534,0.4236876401449311,0.004500578138045622,13,0.42111962200368636,0.4285040400203843,0.41974020138127194,0.42382035245915667,0.42899077570159894,0.42443499831321957,0.003760926371495999,0.4144972817815881,0.422933257741615,0.4111811658971784,0.4106343767234278,0.42053800247763773,0.4159568169242894,0.004958294924853266,13,0.4167477201649093,0.4221546585235994,0.41107693948693075,0.4119784384034852,0.42235626762216766,0.4168628048402184,0.004806836102887763
8.09007477760315,0.43170882627426066,0.47950568199157717,0.02215726944667787,0.1,gini,16,"{'model__ccp_alpha': 0.1, 'model__criterion': 'gini', 'model__max_depth': 16}",0.011904761904761904,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.0,22,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.0,0.00040384227074739663,0.000401141329508753,0.00040519250764715014,0.0004045290773303004,0.00022972281036797167,0.0003688855991203144,6.959501699568185e-05,22,0.0004036793024641436,0.00040097828397780077,0.00040553589112820703,0.00040452032577278663,0.00023023172624323402,0.0003689891059172344,6.939519112608461e-05
9.474385690689086,0.1796429195830428,0.5046750068664551,0.02534285078768601,0.1,gini,32,"{'model__ccp_alpha': 0.1, 'model__criterion': 'gini', 'model__max_depth': 32}",0.011904761904761904,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.0,22,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.0,0.00040384227074739663,0.000401141329508753,0.00040519250764715014,0.0004045290773303004,0.00022972281036797167,0.0003688855991203144,6.959501699568185e-05,22,0.0004036793024641436,0.00040097828397780077,0.00040553589112820703,0.00040452032577278663,0.00023023172624323402,0.0003689891059172344,6.939519112608461e-05
