feature,binary_decision_tree_importance,binary_logistic_regression_importance,binary_random_forest_importance,binary_avg_importance,grouped_decision_tree_importance,grouped_logistic_regression_importance,grouped_random_forest_importance,grouped_avg_importance,all_decision_tree_importance,all_logistic_regression_importance,all_random_forest_importance,all_avg_importance,total_avg,total_avg_scaled
network_protocols_dst_has_data,0.0021102246452127747,0.022228999925593587,0.010957671982052036,0.03529689655285839,8.248668466390873e-05,0.06395271977742033,0.01591990396521484,0.07995511042729908,0.010253794401811372,0.06733778163695327,0.05642363982201121,0.13401521586077586,0.0830890742803111,0.14178663921512805
network_tcp-flags-rst_count,0.0020602217841465447,0.0,0.03884173579655855,0.0409019575807051,0.0005962938514231792,0.0,0.1063265092205262,0.10692280307194937,0.0182370510910514,0.0,0.07946842234611065,0.09770547343716204,0.08184341136327218,0.13965028833106632
network_ports_src_has_80,0.0,0.012530624441109212,1.8683052743444575e-05,0.012549307493852658,5.26009175146177e-05,0.12633329533756238,0.004251641236639028,0.13063753749171603,0.0026171813782905696,0.05670677801733222,0.040775678465281434,0.10009963786090423,0.08109549428215763,0.13836758713189912
network_packet-size_avg,0.0017331842719186246,0.0,0.009020868617453036,0.010754052889371661,0.007515879118375847,0.0,0.08850428940936027,0.09602016852773612,0.03572358483560756,0.0,0.09988395754798475,0.1356075423835923,0.08079392126690003,0.1378503799734118
network_ports_dst_has_9595,0.0,0.09989651568460935,0.0,0.09989651568460935,0.0,0.07315115070562404,0.003913652899043258,0.0770648036046673,0.00038282216832691263,0.022910626475289658,0.032440582545621204,0.055734031189237775,0.07756511682617148,0.13231287931648458
network_protocols_dst_has_mqtt,0.0,0.007043552034032042,0.0003231164630384347,0.007366668497070477,0.0,0.07243318283606714,0.0012483442421652488,0.07368152707823239,0.0,0.07173714893942962,0.07624926023665443,0.14798640917608405,0.07634486825046231,0.1302201148231109
network_ip-flags_avg,7.828263528788933e-05,0.0,0.007221798421663054,0.007300081056950943,0.00604513643893221,0.0,0.10204674083349935,0.10809187727243155,0.0461600055352413,0.0,0.05821840066210055,0.10437840619734184,0.07325678817557478,0.12492396085738018
network_protocols_src_has_dns,4.283080279293002e-05,0.016622523638800974,0.00357038923147284,0.020235743673066745,0.0009663030271011695,0.12850971767405636,0.012339497739531753,0.14181551844068926,0.0008821001069528757,0.027107977271364905,0.025956040250195832,0.05394611762851362,0.07199912658075654,0.12276703186544448
network_ips_dst_count,0.0005802728647436471,0.0,0.0028333060959520326,0.0034135789606956797,0.028836310481821243,0.0,0.11869740554505306,0.14753371602687432,0.0062425752538037785,0.0,0.0457740882740622,0.05201666352786598,0.06765465283847866,0.11531612344299498
network_protocols_src_has_icmp,0.0,0.00316187149302804,0.00012627298451012986,0.00328814447753817,3.919095334961246e-05,0.13747897893826574,0.01168917485362682,0.1492073447452422,0.005388480600781352,0.04091364014617121,0.002717520354838781,0.04901964110179134,0.06717171010819056,0.11448786154750988
network_mss_std_deviation,0.0,0.09743981939247266,9.415410525604161e-05,0.0975339734977287,0.0,0.04915511290947308,0.00015762281583246206,0.04931273572530554,0.0005700801673623047,0.04962721127043679,0.0031290730386976584,0.05332636447649675,0.06672435789984367,0.1137206385109113
network_protocols_src_has_telnet,5.037399473495767e-05,0.035471988029422356,0.0007464886060860087,0.03626885063024333,9.840772850094085e-05,0.06523277932329484,0.06743881665732494,0.13277000370912073,0.0,0.011371551453035091,0.01142232920039007,0.02279388065342516,0.0639442449975964,0.1089526578836757
network_ports_src_has_8000,0.0,0.03509597088493141,0.0,0.03509597088493141,0.0,0.08806976796212279,0.00282927712034644,0.09089904508246924,0.0004571061478766655,0.04209905974367783,0.000929717745189707,0.0434858836367442,0.05649363320138162,0.09617462549632572
network_tcp-flags_min,0.0,0.0,0.00491485308792098,0.00491485308792098,0.000910913840552488,0.0,0.028022237234167448,0.028933151074719936,0.06039346207551154,0.0,0.07375260674615779,0.13414606882166932,0.05599802432810341,0.09532464076924271
network_ip-flags_min,0.00020589093134112965,0.0030831459718289886,0.0029982361509169465,0.006287273054087064,1.508399052060484e-05,0.08615214917527274,0.00469550413142651,0.09086273729721986,0.0,0.0655113883643537,0.004889695912671534,0.07040108427702524,0.055850364876110725,0.09507140018827197
network_payload-length_min,0.0005438091214791318,0.020652160183631557,0.002921689076746104,0.024117658381856793,7.090878776013056e-05,0.06477889475430426,0.007582392515513237,0.07243219605757763,0.0010062386092735813,0.0669957520562633,0.0010337425068231811,0.06903573317236007,0.05519519587059816,0.09394776484118804
